time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-14 00:00:00+00:00,1,1,97,19
2024-06-15 00:00:00+00:00,0,0,79,35
2024-06-16 00:00:00+00:00,0,0,74,21
2024-06-17 00:00:00+00:00,0,0,132,33
2024-06-18 00:00:00+00:00,1,1,66,24
2024-06-19 00:00:00+00:00,4,4,140,25
2024-06-20 00:00:00+00:00,1,1,60,34
2024-06-21 00:00:00+00:00,4,3,90,39
2024-06-22 00:00:00+00:00,1,1,115,32
2024-06-23 00:00:00+00:00,2,2,234,47
2024-06-24 00:00:00+00:00,1,1,109,32
2024-06-25 00:00:00+00:00,1,1,101,30
2024-06-26 00:00:00+00:00,0,0,215,36
2024-06-27 00:00:00+00:00,3,3,31,22
2024-06-28 00:00:00+00:00,6,3,90,31
2024-06-29 00:00:00+00:00,0,0,90,31
2024-06-30 00:00:00+00:00,0,0,45,28
2024-07-01 00:00:00+00:00,3,2,53,26
2024-07-02 00:00:00+00:00,0,0,48,28
2024-07-03 00:00:00+00:00,0,0,150,60
2024-07-04 00:00:00+00:00,2,1,124,36
2024-07-05 00:00:00+00:00,4,2,257,112
2024-07-06 00:00:00+00:00,3,3,69,20
2024-07-07 00:00:00+00:00,1,1,63,22
2024-07-08 00:00:00+00:00,3,1,69,37
2024-07-09 00:00:00+00:00,5,3,69,24
2024-07-10 00:00:00+00:00,0,0,34,19
2024-07-11 00:00:00+00:00,0,0,39,16
2024-07-12 00:00:00+00:00,2,2,42,20
2024-07-13 00:00:00+00:00,0,0,168,16
2024-07-14 00:00:00+00:00,0,0,28,21
2024-07-15 00:00:00+00:00,2,1,135,27
2024-07-16 00:00:00+00:00,2,1,94,22
2024-07-17 00:00:00+00:00,0,0,67,21
2024-07-18 00:00:00+00:00,1,1,143,19
2024-07-19 00:00:00+00:00,0,0,88,35
2024-07-20 00:00:00+00:00,2,2,88,24
2024-07-21 00:00:00+00:00,2,1,43,23
2024-07-22 00:00:00+00:00,3,1,54,30
2024-07-23 00:00:00+00:00,1,1,46,15
2024-07-24 00:00:00+00:00,0,0,65,16
2024-07-25 00:00:00+00:00,0,0,27,15
2024-07-26 00:00:00+00:00,1,1,52,11
2024-07-27 00:00:00+00:00,1,1,18,8
2024-07-28 00:00:00+00:00,0,0,66,18
2024-07-29 00:00:00+00:00,3,1,115,15
2024-07-30 00:00:00+00:00,1,1,48,23
2024-07-31 00:00:00+00:00,0,0,809,138
2024-08-01 00:00:00+00:00,1,1,276,85
2024-08-02 00:00:00+00:00,2,2,303,51
2024-08-03 00:00:00+00:00,2,1,87,36
2024-08-04 00:00:00+00:00,5,2,183,32
2024-08-05 00:00:00+00:00,3,3,148,32
2024-08-06 00:00:00+00:00,3,1,138,26
2024-08-07 00:00:00+00:00,3,3,56,26
2024-08-08 00:00:00+00:00,0,0,81,31
2024-08-09 00:00:00+00:00,0,0,239,26
2024-08-10 00:00:00+00:00,1,1,55,20
2024-08-11 00:00:00+00:00,1,1,56,29
2024-08-12 00:00:00+00:00,2,2,90,23
2024-08-13 00:00:00+00:00,0,0,65,18
2024-08-14 00:00:00+00:00,0,0,36,16
2024-08-15 00:00:00+00:00,0,0,91,25
2024-08-16 00:00:00+00:00,0,0,36,26
2024-08-17 00:00:00+00:00,1,1,22,16
2024-08-18 00:00:00+00:00,0,0,51,15
2024-08-19 00:00:00+00:00,0,0,100,17
2024-08-20 00:00:00+00:00,6,2,46,25
2024-08-21 00:00:00+00:00,0,0,36,21
2024-08-22 00:00:00+00:00,2,1,60,19
2024-08-23 00:00:00+00:00,4,4,29,15
2024-08-24 00:00:00+00:00,5,2,26,11
2024-08-25 00:00:00+00:00,0,0,126,19
2024-08-26 00:00:00+00:00,1,1,66,25
2024-08-27 00:00:00+00:00,2,2,22,13
2024-08-28 00:00:00+00:00,1,1,24,19
2024-08-29 00:00:00+00:00,1,1,71,27
2024-08-30 00:00:00+00:00,1,1,152,13
2024-08-31 00:00:00+00:00,5,4,20,14
2024-09-01 00:00:00+00:00,1,1,31,21
2024-09-02 00:00:00+00:00,1,1,42,22
2024-09-03 00:00:00+00:00,0,0,29,11
2024-09-04 00:00:00+00:00,1,1,57,31
2024-09-05 00:00:00+00:00,1,1,75,20
2024-09-06 00:00:00+00:00,0,0,48,16
2024-09-07 00:00:00+00:00,0,0,15,11
2024-09-08 00:00:00+00:00,0,0,43,21
2024-09-09 00:00:00+00:00,5,3,156,18
2024-09-10 00:00:00+00:00,3,1,66,17
2024-09-11 00:00:00+00:00,1,1,75,21
2024-09-12 00:00:00+00:00,6,3,78,21
2024-09-13 00:00:00+00:00,0,0,29,14
2024-09-14 00:00:00+00:00,0,0,146,15
2024-09-15 00:00:00+00:00,6,3,50,30
2024-09-16 00:00:00+00:00,1,1,29,18
2024-09-17 00:00:00+00:00,0,0,43,25
2024-09-18 00:00:00+00:00,5,3,33,23
2024-09-19 00:00:00+00:00,0,0,29,18
2024-09-20 00:00:00+00:00,5,5,52,11
2024-09-21 00:00:00+00:00,1,1,25,16
2024-09-22 00:00:00+00:00,0,0,91,26
2024-09-23 00:00:00+00:00,3,3,104,29
2024-09-24 00:00:00+00:00,3,3,87,15
2024-09-25 00:00:00+00:00,1,1,48,25
2024-09-26 00:00:00+00:00,1,1,24,13
2024-09-27 00:00:00+00:00,0,0,81,17
2024-09-28 00:00:00+00:00,2,1,13,8
2024-09-29 00:00:00+00:00,0,0,28,16
2024-09-30 00:00:00+00:00,1,1,23,16
2024-10-01 00:00:00+00:00,0,0,44,11
2024-10-02 00:00:00+00:00,3,2,25,13
2024-10-03 00:00:00+00:00,4,2,45,33
2024-10-04 00:00:00+00:00,1,1,37,27
2024-10-05 00:00:00+00:00,0,0,44,22
2024-10-06 00:00:00+00:00,0,0,52,28
